topology,shared,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,True,0.0,0.3032,0.0065003039928914095,13.1014,0.0,0.6968,5000
complete,True,0.05,0.3284,0.006641587761973789,13.2418,0.0,0.6716,5000
complete,True,0.1,0.3602,0.006789049417996602,13.406,0.0,0.6398,5000
complete,True,0.15,0.3932,0.006907876084586347,13.5542,0.0,0.6068,5000
complete,True,0.2,0.4144,0.006966672663474293,13.7212,0.0,0.5856,5000
complete,True,0.25,0.4434,0.007025616556573523,13.828,0.0,0.5566,5000
complete,True,0.3,0.4764,0.007063186816161669,14.0608,0.0,0.5236,5000
complete,True,0.35,0.509,0.007069922206078367,14.3136,0.0,0.491,5000
complete,True,0.4,0.5422,0.007045837920361212,14.6378,0.0,0.4578,5000
complete,True,0.45,0.5854,0.006967163554847841,15.0448,0.0,0.4146,5000
complete,True,0.5,0.628,0.006835437074540296,15.593,0.0,0.372,5000
complete,True,0.55,0.6798,0.006598059714794949,16.0084,0.0,0.3202,5000
complete,True,0.6,0.7292,0.0062843831837341045,16.285,0.0,0.2708,5000
complete,True,0.65,0.7892,0.005768246874051075,16.7782,0.0,0.2108,5000
complete,True,0.7,0.8506,0.00504142122818556,17.269,0.0,0.1494,5000
complete,True,0.75,0.9046,0.00415448769404845,17.3146,0.0,0.0954,5000
complete,True,0.8,0.9408,0.0033375248313683007,17.101,0.0,0.0592,5000
complete,True,0.85,0.9676,0.0025040063897682043,16.8914,0.0,0.0324,5000
complete,True,0.9,0.9858,0.001673222041451761,16.304,0.0,0.0142,5000
complete,True,0.95,0.9962,0.0008701218305501851,15.6818,0.0,0.0038,5000
complete,True,1.0,0.9992,0.0003998399679871993,14.9768,0.0,0.0008,5000
complete,False,0.0,0.3016,0.006490569158402058,13.227,0.0,0.6984,5000
complete,False,0.05,0.3278,0.006638481151588818,13.6414,0.0,0.6722,5000
complete,False,0.1,0.3556,0.006769765727113458,14.2234,0.0,0.6444,5000
complete,False,0.15,0.3882,0.00689203540327529,14.542,0.0,0.6118,5000
complete,False,0.2,0.4236,0.006988033199692171,15.355,0.0,0.5764,5000
complete,False,0.25,0.4594,0.007047717928521259,15.6782,0.0,0.5406,5000
complete,False,0.3,0.496,0.007070841534074993,16.4974,0.0,0.504,5000
complete,False,0.35,0.5352,0.007053523374881521,17.1824,0.0,0.4648,5000
complete,False,0.4,0.5862,0.006965192890365636,18.1624,0.0,0.4138,5000
complete,False,0.45,0.6484,0.006752443113421986,18.8496,0.0,0.3516,5000
complete,False,0.5,0.7004,0.006478268904576283,19.81,0.0,0.2996,5000
complete,False,0.55,0.7692,0.0059587139552087914,21.288,0.0,0.2308,5000
complete,False,0.6,0.8298,0.005314733483440162,21.2008,0.0,0.1702,5000
complete,False,0.65,0.8948,0.004338962087873089,21.656,0.0,0.1052,5000
complete,False,0.7,0.9472,0.003162662169755093,21.4278,0.0,0.0528,5000
complete,False,0.75,0.9756,0.0021819550866138365,20.3298,0.0,0.0244,5000
complete,False,0.8,0.9884,0.00151429455523026,19.164,0.0,0.0116,5000
complete,False,0.85,0.9944,0.0010553331227626706,17.8146,0.0,0.0056,5000
complete,False,0.9,0.9974,0.0007201722016295889,16.882,0.0,0.0026,5000
complete,False,0.95,0.9994,0.0003463062228721987,15.937,0.0,0.0006,5000
complete,False,1.0,0.9984,0.0005652326954449903,15.233,0.0,0.0016,5000
cycle,True,0.0,0.0,0.0,28.502,0.0,1.0,5000
cycle,True,0.05,0.0002,0.00019997999899989998,34.4908,0.0,0.9998,5000
cycle,True,0.1,0.0008,0.00039983996798719363,44.0214,0.0,0.9992,5000
cycle,True,0.15,0.001,0.0004469899327725402,62.927,0.0014,0.9976,5000
cycle,True,0.2,0.004,0.0008926365441768558,104.8582,0.0178,0.9782,5000
cycle,True,0.25,0.0104,0.0014347013626535663,178.6222,0.101,0.8886,5000
cycle,True,0.3,0.0232,0.0021289321266775977,287.5638,0.2612,0.7156,5000
cycle,True,0.35,0.0662,0.003516178607522661,390.6688,0.4316,0.5022,5000
cycle,True,0.4,0.2136,0.005796120081571809,422.945,0.4594,0.327,5000
cycle,True,0.45,0.5542,0.007029400543431851,329.4742,0.2382,0.2076,5000
cycle,True,0.5,0.8508,0.00503863791118195,171.8776,0.0204,0.1288,5000
cycle,True,0.55,0.931,0.0035843827920577893,98.8722,0.0002,0.0688,5000
cycle,True,0.6,0.9666,0.002541040731668817,70.4508,0.0,0.0334,5000
cycle,True,0.65,0.9828,0.0018387038913321523,55.2118,0.0,0.0172,5000
cycle,True,0.7,0.9934,0.0011451148414023853,45.1716,0.0,0.0066,5000
cycle,True,0.75,0.9962,0.0008701218305501851,37.8216,0.0,0.0038,5000
cycle,True,0.8,0.9986,0.000528779727296718,33.2912,0.0,0.0014,5000
cycle,True,0.85,0.9998,0.00019997999899988897,29.3926,0.0,0.0002,5000
cycle,True,0.9,1.0,0.0,26.387,0.0,0.0,5000
cycle,True,0.95,1.0,0.0,23.8816,0.0,0.0,5000
cycle,True,1.0,1.0,0.0,22.0344,0.0,0.0,5000
cycle,False,0.0,0.0,0.0,28.5962,0.0,1.0,5000
cycle,False,0.05,0.0,0.0,34.4548,0.0,1.0,5000
cycle,False,0.1,0.0,0.0,45.2892,0.0,1.0,5000
cycle,False,0.15,0.0004,0.00028278613827413816,63.8892,0.0012,0.9984,5000
cycle,False,0.2,0.0014,0.0005287797272967262,102.4038,0.0164,0.9822,5000
cycle,False,0.25,0.0046,0.0009569576793150259,184.3622,0.096,0.8994,5000
cycle,False,0.3,0.0098,0.0013931231101377939,315.6308,0.2818,0.7084,5000
cycle,False,0.35,0.0326,0.0025114633184659496,453.6018,0.5032,0.4642,5000
cycle,False,0.4,0.1526,0.005085533207049188,524.1202,0.5796,0.2678,5000
cycle,False,0.45,0.5692,0.0070030187776415394,424.4946,0.3104,0.1204,5000
cycle,False,0.5,0.9564,0.0028878725733660748,203.2262,0.0068,0.0368,5000
cycle,False,0.55,0.9912,0.0013207997577225725,114.644,0.0,0.0088,5000
cycle,False,0.6,0.999,0.0004469899327725404,77.0982,0.0,0.001,5000
cycle,False,0.65,1.0,0.0,58.557,0.0,0.0,5000
cycle,False,0.7,1.0,0.0,47.6994,0.0,0.0,5000
cycle,False,0.75,1.0,0.0,39.834,0.0,0.0,5000
cycle,False,0.8,1.0,0.0,34.467,0.0,0.0,5000
cycle,False,0.85,1.0,0.0,29.9194,0.0,0.0,5000
cycle,False,0.9,1.0,0.0,26.7242,0.0,0.0,5000
cycle,False,0.95,1.0,0.0,24.2066,0.0,0.0,5000
cycle,False,1.0,1.0,0.0,21.9012,0.0,0.0,5000
